Code_Name,Quote
a, Some bacteria are capable of photosynthesis. (16)
d, Photosynthesis requires carbon dioxide from the air. (4)
c, Photosynthesis stores energy in sugar molecules. (7)
c, Glucose made in photosynthesis can be stored as starch. (15)
g, Chlorophyll absorbs light energy from the sun. (3)
a, Leaves are the main site of photosynthesis in most plants. (2)
h, The process takes place inside chloroplasts. (9)
d, Stomata allow gases to enter and leave the leaf. (14)
f,"Without light, photosynthesis slows or stops. (13)"
b, Photosynthesis helps reduce carbon dioxide in the atmosphere. (11)
h, Water is absorbed by roots and transported to leaves. (5)
c, Green plants depend on photosynthesis for food production. (8)
e, Carbon dioxide enters leaves through tiny pores. (22)
b, Photosynthesis is essential for life on Earth. (18)
e, Photosynthesis supports food chains in ecosystems. (24)
j, Temperature can affect photosynthesis efficiency. (20)
j, Plants grow by using products made through photosynthesis. (12)
f, The rate of photosynthesis can increase with more light. (19)
a, The oxygen humans breathe is linked to photosynthesis. (25)
a, Plants use sunlight to produce glucose. (1)
f, Sunlight provides the energy needed for the reaction. (10)
i, Healthy leaves often photosynthesize more effectively. (23)
i, Photosynthesis converts radiant energy into chemical energy. (21)
g, Algae perform photosynthesis in aquatic environments. (17)
a, Oxygen is released during photosynthesis. (6)
