Code_Name,Quote
LightEnergy, Plants use sunlight to produce glucose. (1)
LeafStructure, Leaves are the main site of photosynthesis in most plants. (2)
LightEnergy, Chlorophyll absorbs light energy from the sun. (3)
GasExchange, Photosynthesis requires carbon dioxide from the air. (4)
WaterInput, Water is absorbed by roots and transported to leaves. (5)
GasExchange, Oxygen is released during photosynthesis. (6)
EnergyStorage, Photosynthesis stores energy in sugar molecules. (7)
EnergyStorage, Green plants depend on photosynthesis for food production. (8)
LeafStructure, The process takes place inside chloroplasts. (9)
LightEnergy, Sunlight provides the energy needed for the reaction. (10)
AtmosphereImpact, Photosynthesis helps reduce carbon dioxide in the atmosphere. (11)
GrowthOutcome, Plants grow by using products made through photosynthesis. (12)
LightEnergy,"Without light, photosynthesis slows or stops. (13)"
GasExchange, Stomata allow gases to enter and leave the leaf. (14)
EnergyStorage, Glucose made in photosynthesis can be stored as starch. (15)
Organisms, Some bacteria are capable of photosynthesis. (16)
Organisms, Algae perform photosynthesis in aquatic environments. (17)
AtmosphereImpact, Photosynthesis is essential for life on Earth. (18)
LightEnergy, The rate of photosynthesis can increase with more light. (19)
EnvironmentFactors, Temperature can affect photosynthesis efficiency. (20)
EnergyStorage, Photosynthesis converts radiant energy into chemical energy. (21)
GasExchange, Carbon dioxide enters leaves through tiny pores. (22)
LeafStructure, Healthy leaves often photosynthesize more effectively. (23)
Ecosystems, Photosynthesis supports food chains in ecosystems. (24)
AtmosphereImpact, The oxygen humans breathe is linked to photosynthesis. (25)
