Code_Name,Quote
1, Healthy leaves often photosynthesize more effectively. (23)
9, Water is absorbed by roots and transported to leaves. (5)
8, The oxygen humans breathe is linked to photosynthesis. (25)
5,"Without light, photosynthesis slows or stops. (13)"
2, Some bacteria are capable of photosynthesis. (16)
4, Photosynthesis requires carbon dioxide from the air. (4)
5, Plants use sunlight to produce glucose. (1)
3, Photosynthesis converts radiant energy into chemical energy. (21)
3, Photosynthesis stores energy in sugar molecules. (7)
3, Glucose made in photosynthesis can be stored as starch. (15)
2, Algae perform photosynthesis in aquatic environments. (17)
5, Chlorophyll absorbs light energy from the sun. (3)
4, Oxygen is released during photosynthesis. (6)
8, Photosynthesis is essential for life on Earth. (18)
1, The process takes place inside chloroplasts. (9)
6, Sunlight provides the energy needed for the reaction. (10)
2, Green plants depend on photosynthesis for food production. (8)
4, Carbon dioxide enters leaves through tiny pores. (22)
9, Plants grow by using products made through photosynthesis. (12)
2, Leaves are the main site of photosynthesis in most plants. (2)
10, Photosynthesis supports food chains in ecosystems. (24)
7, Temperature can affect photosynthesis efficiency. (20)
7, The rate of photosynthesis can increase with more light. (19)
11, Photosynthesis helps reduce carbon dioxide in the atmosphere. (11)
12, Stomata allow gases to enter and leave the leaf. (14)
